benchmark,run,result
palindrome,lvn,298
recfact,baseline,104
recfact,dce,103
recfact,rod,104
recfact,lvn,101
fizz-buzz,baseline,3652
fizz-buzz,dce,3552
fizz-buzz,rod,3652
fizz-buzz,lvn,3552
sum-sq-diff,baseline,3038
sum-sq-diff,dce,3036
sum-sq-diff,rod,3038
sum-sq-diff,lvn,3030
relative-primes,baseline,1923
relative-primes,dce,1914
relative-primes,rod,1923
relative-primes,lvn,1692
sum-divisors,baseline,159
sum-divisors,dce,159
sum-divisors,rod,159
sum-divisors,lvn,159
reverse,baseline,46
reverse,dce,46
reverse,rod,46
reverse,lvn,46
birthday,baseline,484
birthday,dce,483
birthday,rod,484
birthday,lvn,481
dot-product,baseline,88
dot-product,dce,88
dot-product,rod,88
dot-product,lvn,88
factors,baseline,72
factors,dce,72
factors,rod,72
factors,lvn,72
fact,baseline,229
fact,dce,228
fact,rod,229
fact,lvn,228
fitsinside,baseline,10
fitsinside,dce,10
fitsinside,rod,10
fitsinside,lvn,10
sum-bits,baseline,73
sum-bits,dce,73
sum-bits,rod,73
sum-bits,lvn,73
ackermann,baseline,1464231
ackermann,dce,1464231
ackermann,rod,1464231
ackermann,lvn,1464231
hanoi,baseline,99
hanoi,dce,99
hanoi,rod,99
hanoi,lvn,99
totient,baseline,253
totient,dce,253
totient,rod,253
totient,lvn,253
euclid,baseline,563
euclid,dce,562
euclid,rod,563
euclid,lvn,535
loopfact,baseline,116
loopfact,dce,115
loopfact,rod,116
loopfact,lvn,115
binary-fmt,baseline,100
binary-fmt,dce,100
binary-fmt,rod,100
binary-fmt,lvn,100
lcm,baseline,2326
lcm,dce,2326
lcm,rod,2326
lcm,lvn,2326
pythagorean_triple,baseline,61518
pythagorean_triple,dce,61518
pythagorean_triple,rod,61518
pythagorean_triple,lvn,61518
quadratic,baseline,785
quadratic,dce,783
quadratic,rod,785
quadratic,lvn,783
sum-check,baseline,5018
sum-check,dce,5018
sum-check,rod,5018
sum-check,lvn,5018
cholesky,baseline,3761
cholesky,dce,3750
cholesky,rod,3761
cholesky,lvn,3747
mat-inv,baseline,1044
mat-inv,dce,1044
mat-inv,rod,1044
mat-inv,lvn,1038
